!exclamation-point	ɛksklʌmeɪʃʌnpɔɪnt
"close-quote	kloʊzkwoʊt
"double-quote	dʌbʌlkwoʊt
assessor	ʌsɛsəɹ
assessors	ʌsɛsəɹz
asset	æsɛt
assets	æsɛts
assets'	æsɛts
asshole	æshoʊl
assholes	æshoʊlz
assicurazioni	ʌsikəɹæzioʊni
assiduous	ʌsɪdwʌs
assiduously	ʌsɪdwʌsli
assign	ʌsaɪn
assigned	ʌsaɪnd
assigning	ʌsaɪnɪŋ
assignment	ʌsaɪnmʌnt
assignment's	ʌsaɪnmʌnts
assignments	ʌsaɪnmʌnts
assigns	ʌsaɪnz
assimilate	ʌsɪmʌleɪt
assimilated	ʌsɪmʌleɪtɪd
assimilating	ʌsɪmʌleɪtɪŋ
assimilation	ʌsɪmʌleɪʃʌn
assira	ʌsiɹʌ
assisi	ʌsisi
assisi's	ʌsisiz
assist	ʌsɪst
assistance	ʌsɪstʌns
assistant	ʌsɪstʌnt
assistants	ʌsɪstʌnts
assisted	ʌsɪstʌd
assisted(1)	ʌsɪstɪd
assisting	ʌsɪstɪŋ
assists	ʌsɪsts
assocation	æsʌkeɪʃʌn
associate	ʌsoʊsiʌt
associate(1)	ʌsoʊsieɪt
associate(2)	ʌsoʊʃiʌt
associate(3)	ʌsoʊʃieɪt
associate's	ʌsoʊsiʌts
associate's(1)	ʌsoʊʃiʌts
associated	ʌsoʊsieɪtʌd
associated(1)	ʌsoʊʃieɪtʌd
associates	ʌsoʊsiʌts
associates(1)	ʌsoʊsieɪts
associates(2)	ʌsoʊʃiʌts
associates(3)	ʌsoʊʃieɪts
associates'	ʌsoʊʃiʌts
associates'(1)	ʌsoʊsiʌts
associating	ʌsoʊsieɪtɪŋ
association	ʌsoʊsieɪʃʌn
association(1)	ʌsoʊʃieɪʃʌn
association's	ʌsoʊʃieɪʃʌnz
associations	ʌsoʊsieɪʃʌnz
associations(1)	ʌsoʊʃieɪʃʌnz
associes	æsʌsiz
assort	ʌsɔɹt
assorted	ʌsɔɹtɪd
assortment	ʌsɔɹtmʌnt
assuage	ʌsweɪd͡ʒ
assuaged	ʌsweɪd͡ʒd
assubel	æsʌbɛl
assume	ʌsum
assumed	ʌsumd
assumes	ʌsumz
assuming	ʌsumɪŋ
assumption	ʌsʌmpʃʌn
assumptions	ʌsʌmpʃʌnz
assurance	ʌʃʊɹʌns
assurances	ʌʃʊɹʌnsɪz
assurances(1)	ʌʃʊɹʌntsɪz
assuras	ʌʃʊɹʌs
assure	ʌʃʊɹ
assured	ʌʃʊɹd
assuredly	ʌʃʊɹʌdli
assures	ʌʃʊɹz
assuring	ʌʃʊɹɪŋ
assyria	ʌsɪɹiʌ
assyrian	ʌsɪɹiʌn
assyrians	ʌsɪɹiʌnz
ast	æst
asta	ɑstʌ
astaire	ʌstɛɹ
aster	æstəɹ
asterisk	æstəɹɪsk
asteroid	æstəɹɔɪd
asteroid's	æstəɹɔɪdz
asteroids	æstəɹɔɪdz
asters	æstəɹz
asthma	æzmʌ
asthmatic	æzmætɪk
asthmatics	ɛsθmɛtɪks
astigmatism	ʌstɪɡmʌtɪzʌm
astin	ʌstɪn
astle	æsʌl
astley	æstli
aston	æstʌn
astonish	ʌstɑnɪʃ
astonished	ʌstɑnɪʃt
astonishing	ʌstɑnɪʃɪŋ
astonishingly	ʌstɑnɪʃɪŋli
astonishment	ʌstɑnɪʃmʌnt
astor	æstəɹ
astor's	æstəɹz
astore	æstɔɹ
astore(1)	æstɔɹi
astorga	ɑstɔɹɡʌ
astoria	æstɔɹiʌ
astorino	ɑstɔɹinoʊ
astound	ʌstaʊnd
astounded	ʌstaʊndɪd
astounding	ʌstaʊndɪŋ
astoundingly	ʌstaʊndɪŋli
astounds	ʌstaʊndz
astra	æstɹʌ
astra's	æstɹʌz
astraddle	ʌstɹædʌl
astrakhan	æstɹʌkɑn
astral	æstɹʌl
astray	ʌstɹeɪ
astred	æstəɹd
astrid	æstɹɪd
astride	ʌstɹaɪd
astringent	ʌstɹɪnd͡ʒʌnt
astringents	ʌstɹɪnd͡ʒʌnts
astro	æstɹoʊ
astrodome	æstɹʌdoʊm
astrogeology	æstɹʌd͡ʒiɑlʌd͡ʒi
astrologer	ʌstɹɑlʌd͡ʒəɹ
astrologers	ʌstɹɑlʌd͡ʒəɹz
astrological	æstɹʌlɑd͡ʒɪkʌl
astrology	ʌstɹɑlʌd͡ʒi
astronaut	æstɹʌnɑt
astronaut's	æstɹʌnɑts
astronautic	æstɹʌnɑtɪk
astronautical	æstɹʌnɑtɪkʌl
astronautics	æstɹʌnɑtɪks
astronauts	æstɹʌnɔts
astronauts'	æstɹʌnɔts
astronomer	ʌstɹɑnʌməɹ
astronomers	ʌstɹɑnʌməɹz
astronomical	æstɹʌnɑmɪkʌl
astronomically	æstɹʌnɑmɪkli
astronomy	ʌstɹɑnʌmi
astrophotography	æstɹoʊfʌtɑɡɹʌfi
astrophysicist	æstɹoʊfɪsɪsɪst
astrophysics	æstɹoʊfɪzɪks
astros	æstɹoʊs
astrotech	æstɹoʊtɛk
astroturf	æstɹoʊtəɹf
astute	ʌstut
astutely	ʌstutli
astuteness	ʌstutnʌs
asuncion	ʌsʌnʃʌn
asunder	ʌsʌndəɹ
aswin	ʌswɪn
asylum	ʌsaɪlʌm
asymmetrical	eɪsʌmɛtɹɪkʌl
asymmetries	eɪsɪmʌtɹiz
asymmetry	eɪsɪmʌtɹi
asymptomatic	eɪsɪmptʌmætɪk
asymptote	æsʌmtoʊt
asymptote(1)	æsɪmptoʊt
asymptotes	æsʌmtoʊts
asymptotes(1)	æsɪmptoʊts
asynchronous	eɪsɪŋkɹʌnʌs
at	æt
at-bat	ætbæt
at-bats	ætbæts
ata	ɑtʌ
atalanta	ætʌlæntʌ
atalaya	ɑtɑleɪʌ
atalia	ɑtɑliʌ
atalie	ætʌli
atamian	ʌteɪmiʌn
atari	ʌtɑɹi
atari's	ʌtɑɹiz
ataturk	ætʌtəɹk
ataturk's	ætʌtəɹks
atavism	ætʌvɪzʌm
atavistic	ætʌvɪstɪk
ataxia	eɪtæksiʌ
ataxia's	eɪtæksiʌz
atcheson	æt͡ʃɪsʌn
atchinson	æt͡ʃɪnsʌn
atchison	æt͡ʃɪsʌn
atchley	æt͡ʃli
atco	ætkoʊ
atcor	ætkɔɹ
ate	eɪt
atek	eɪtɛk
aten	eɪtʌn
atencio	ʌtɛnsioʊ
ater	eɪtəɹ
ates	eɪts
atha	æθʌ
athalia	eɪθæliʌ
athanas	eɪθænʌz
athanassiou	ɑθʌnʌsiu
athans	æθʌnz
athas	eɪðʌz
athearn	eɪθəɹn
atheism	ʌθaɪsʌm
atheism(1)	eɪθiɪzʌm
atheist	eɪθiʌst
atheistic	eɪθiɪstɪk
atheists	eɪθiʌsts
athena	ʌθinʌ
athenaeum	æθʌniʌm
athenaios	æθʌnaɪoʊs
atheneum	æθʌnum
athenian	ʌθiniʌn
athenians	ʌθiniʌnz
athens	æθʌnz
atherosclerosis	æθəɹoʊskləɹoʊsɪs
atherton	æθəɹtʌn
athey	æθi
athie	eɪθi
athlete	æθlit
athlete's	æθlits
athletes	æθlits
athletes'	æθlits
athletic	æθlɛtɪk
athletically	æθlɛtɪkli
athleticism	æθlɛtɪsɪzm
athletics	æθlɛtɪks
athlone	æθloʊn
athwart	ʌθwɔɹt
atico	ætɪkoʊ
atienza	ɑtinzʌ
atilano	ɑtilɑnoʊ
atither	ʌtɪðəɹ
atkerson	ætkəɹsʌn
atkin	ʌtkɪn
atkins	ætkɪnz
atkins's	ætkɪnzɪz
atkinson	ætkʌnsʌn
atkinson(1)	ætkɪnsʌn
atkinson's	ætkʌnsʌnz
atkinson's(1)	ætkɪnsʌnz
atkison	ætkɪsʌn
atkisson	ætkɪsʌn
atla	ætlʌ
atlan	ætlʌn
atlanta	ætlæntʌ
atlanta(1)	ʌtlæntʌ
atlanta(2)	ætlænʌ
atlanta(3)	ʌtlænʌ
atlanta's	ætlæntʌz
atlanta's(1)	ætlænʌz
atlantan	ætlæntʌn
atlantan(1)	ætlænʌn
atlantans	ætlæntʌnz
atlantans(1)	ætlænʌnz
atlantic	ʌtlæntɪk
atlantic(1)	ʌtlænɪk
atlantic's	ʌtlæntɪks
atlantic's(1)	ʌtlænɪks
atlantica	ætlæntɪkʌ
atlantico	ætlæntɪkoʊ
atlantis	ætlæntɪs
atlantis(1)	ætlænɪs
atlantis'	ætlæntɪs
atlantis'(1)	ætlæntɪsɪz
atlantis's	ætlæntɪsɪz
atlas	ætlʌs
atlas's	ætlʌsɪz
atlases	ætleɪsɪz
atlases(1)	ætlʌsɪz
atler	ætləɹ
atley	ætli
atm	eɪtiɛm
atmel	ætmʌl
atmosphere	ætmʌsfɪɹ
atmospheric	ætmʌsfɛɹɪk
atmospherics	ætmʌsfɛɹɪks
atnip	ætnɪp
atocha	ʌtɑt͡ʃʌ
atoll	ætɑl
atoll(1)	ætɔl
atoll(2)	ʌtoʊl
atom	ætʌm
atomic	ʌtɑmɪk
atomizer	ætʌmaɪzəɹ
atoms	ætʌmz
aton	ʌtɑn
atonal	eɪtoʊnʌl
atone	ʌtoʊn
atonement	ʌtoʊnmʌnt
atop	ʌtɑp
ator	ɑtɔɹ
atorino	ætəɹinoʊ
atp	eɪtipi
atra	eɪtɹʌ
atria	eɪtɹiʌ
atrium	eɪtɹiʌm
atriums	eɪtɹiʌmz
atrocious	ʌtɹoʊʃʌs
atrocities	ʌtɹɑsʌtiz
atrocity	ʌtɹɑsʌti
atrophied	ætɹʌfid
atrophies	ætɹʌfiz
atrophy	ætɹʌfi
atsushi	ɑtsuʃi
atsushi(1)	ɑsuʃi
atta	ætʌ
attaboy	ætʌbɔɪ
attaboys	ætʌbɔɪz
attach	ʌtæt͡ʃ
attache	ætʌʃeɪ
attached	ʌtæt͡ʃt
attaches	ʌtæt͡ʃɪz
attaching	ʌtæt͡ʃɪŋ
attachment	ʌtæt͡ʃmʌnt
attachments	ʌtæt͡ʃmʌnts
attack	ʌtæk
attacked	ʌtækt
attacker	ʌtækəɹ
attackers	ʌtækəɹz
attacking	ʌtækɪŋ
attacks	ʌtæks
attain	ʌteɪn
attainable	ʌteɪnʌbʌl
attainder	ʌteɪndəɹ
attained	ʌteɪnd
attaining	ʌteɪnɪŋ
attainment	ʌteɪnmʌnt
attains	ʌteɪnz
attali	ʌtɑli
attalla	ʌtælʌ
attanasio	ɑtɑnɑsioʊ
attar	ætəɹ
attard	ætəɹd
attardo	ɑtɑɹdoʊ
attaway	ætʌweɪ
atteberry	ætbɛɹi
attebery	ʌtɛbəɹi
attebury	ætbɛɹi
attempt	ʌtɛmpt
attempted	ʌtɛmptʌd
attempting	ʌtɛmptɪŋ
attempts	ʌtɛmpts
attempts(1)	ʌtɛmps
attenborough	ætʌnbəɹoʊ
attend	ʌtɛnd
attendance	ʌtɛndʌns
attendant	ʌtɛndʌnt
attendant's	ʌtɛndʌnts
attendants	ʌtɛndʌnts
attendants'	ʌtɛndʌnts
attended	ʌtɛndʌd
attendee	ʌtɛndi
attendees	ʌtɛndiz
attending	ʌtɛndɪŋ
attends	ʌtɛndz
attention	ʌtɛnʃʌn
attentions	ʌtɛnʃʌnz
attentive	ʌtɛntɪv
attentively	ʌtɛntɪvli
attentiveness	ʌtɛntɪvnʌs
attenuate	ʌtɛnjueɪt
attenuated	ʌtɛnjueɪtɪd
attenuates	ʌtɛnjueɪts
atterberry	ætəɹbɛɹi
atterbury	ætəɹbɛɹi
attermann	ætəɹmʌn
attest	ʌtɛst
attested	ʌtɛstɪd
attesting	ʌtɛstɪŋ
attests	ʌtɛsts
attests(1)	ʌtɛs
attic	ætɪk
attica	ætɪkʌ
attics	ætɪks
atticus	ætɪkʌs
attie	æti
attila	ʌtɪlʌ
attila's	ʌtɪlʌz
attire	ʌtaɪəɹ
attired	ʌtaɪɹd
attitude	ætʌtud
attitudes	ætʌtudz
attitudinal	ætʌtudʌnʌl
attkisson	ætkɪsʌn
attleboro	ætʌlbəɹoʊ
attlee	ætli
attorney	ʌtəɹni
attorney's	ʌtəɹniz
attorneys	ʌtəɹniz
attorneys'	ʌtəɹniz
attract	ʌtɹækt
attracted	ʌtɹæktʌd
attracting	ʌtɹæktɪŋ
attraction	ʌtɹækʃʌn
attractions	ʌtɹækʃʌnz
attractive	ʌtɹæktɪv
attractively	ʌtɹæktɪvli
attractiveness	ʌtɹæktɪvnʌs
attracts	ʌtɹækts
attributable	ʌtɹɪbjʌtʌbʌl
attribute	ætɹʌbjut
attribute(1)	ʌtɹɪbjut
attributed	ʌtɹɪbjʌtʌd
attributes	ætɹʌbjuts
attributes(1)	ʌtɹɪbjuts
attributing	ʌtɹɪbjʌtɪŋ
attribution	ætɹɪbjuʃʌn
attridge	ʌtɹɪd͡ʒ
attrition	ʌtɹɪʃʌn
attune	ʌtun
attuned	ʌtund
attwood	ætwʊd
attwoods	ætwʊdz
atwater	ætwɔtəɹ
atwell	ʌtwɛl
atwood	ætwʊd
atworth	ætwəɹθ
atx	eɪtiɛks
atypia	eɪtɪpiʌ
atypic	eɪtɪpɪk
atypical	eɪtɪpɪkʌl
atz	æts
au	oʊ
aube	ɔb
aubel	aʊbʌl
auber	ɔbəɹ
auberry	ɔbɛɹi
aubert	ɔbəɹt
aubin	ɔbɪn
auble	ɔbʌl
aubrey	ɔbɹi
aubry	ɔbɹi
aubuchon	oʊbʌʃɑn
auburn	ɑbəɹn
auch	ɔt͡ʃ
auchter	aʊktəɹ
auckland	ɑklʌnd
auclair	oʊklɛɹ
aucoin	oʊkɔɪn
aucott	ɔkɑt
auction	ɑkʃʌn
auction(1)	ɔkʃʌn
auction's	ɔkʃʌnz
auctioned	ɔkʃʌnd
auctioneer	ɑkʃʌnɪɹ
auctioneering	ɔkʃʌnɪɹɪŋ
auctioneers	ɔkʃʌnɪɹz
auctioning	ɔkʃʌnɪŋ
auctions	ɑkʃʌnz
auctions(1)	ɔkʃʌnz
aud	ɔd
audacious	ɑdeɪʃʌs
audacity	ɑdæsʌti
audas	oʊdɑz
auden	ɔdʌn
auderburn	ɔdəɹbəɹn
audet	oʊdɛt
audette	oʊdɛt
audi	ɔdi
audi(1)	aʊdi
audi's	ɔdiz
audi's(1)	aʊdiz
audia	ɔdiʌ
audible	ɑdʌbʌl
audibles	ɑdʌbʌlz
audibly	ɑdʌbli
audience	ɑdiʌns
audience(1)	ɔdiʌns
audience's	ɑdiʌnsʌz
audience's(1)	ɔdiʌnsʌz
audiences	ɑdiʌnsʌz
audiences(1)	ɔdiʌnsʌz
audino	ɔdinoʊ
audio	ɑdioʊ
audiophile	ɔdioʊfil
audiophiles	ɔdioʊfilz
audiotape	ɔdioʊteɪp
audiotapes	ɔdioʊteɪps
audiotex	ɔdioʊtɛks
audiotronic	ɔdioʊtɹɑnɪk
audiotronics	ɔdioʊtɹɑnɪks
audiovisual	ɔdioʊvɪʒuʌl
audiovox	ɔdioʊvɑks
audis	ɔdɪs
audis(1)	aʊdiz
audit	ɔdɪt
audited	ɔdɪtɪd
auditing	ɑdʌtɪŋ
audition	ɑdɪʃʌn
auditioned	ɔdɪʃʌnd
auditioning	ɑdɪʃʌnɪŋ
auditions	ɔdɪʃʌnz
auditor	ɔdɪtəɹ
auditor's	ɔdɪtəɹz
auditorium	ɔdʌtɔɹiʌm
auditoriums	ɔdɪtɔɹiʌmz
auditors	ɑdʌtəɹz
auditors'	ɔdɪtəɹz
auditory	ɔdɪtɔɹi
audits	ɑdʌts
audran	ɔdɹʌn
audrey	ɔdɹi
audric	ɔdɹɪk
audrie	ɔdəɹi
audris	oʊdɹis
audry	ɔdɹi
audubon	ɔdʌbɑn
audwin	ɔdwɪn
aue	aʊ
auel	aʊʌl
auen	aʊʌn
auer	aʊəɹ
auerbach	aʊəɹbɑk
auerback	aʊɹbæk
aufderheide	aʊfdəɹhaɪd
aufhauser	ɔfhaʊzəɹ
aufiero	oʊfɪɹoʊ
aug	ɔɡʌst
augat	ɔɡæt
auge	ɔd͡ʒ
augello	ɔd͡ʒɛloʊ
augenstein	aʊɡʌnstaɪn
augenstein(1)	aʊɡʌnstin
auger	ɔɡəɹ
augers	ɔɡəɹz
aughenbaugh	ɔɛnbɔ
aught	ɔt
augment	ɔɡmɛnt
augmentable	ɑɡmɛntʌbʌl
augmentation	ɑɡmɛnteɪʃʌn
augmented	ɑɡmɛntʌd
augmenting	ɔɡmɛntɪŋ
augsburg	ɔɡzbəɹɡ
augsburger	aʊɡzbəɹɡəɹ
augsburger(1)	ɔɡzbəɹɡəɹ
augspurger	aʊɡspəɹɡəɹ
augspurger(1)	ɔɡspəɹɡəɹ
augur	ɔɡəɹ
auguring	ɔɡəɹɪŋ
augurs	ɔɡəɹz
august	ɑɡʌst
august(1)	ɔɡʌst
august's	ɔɡʌsts
augusta	ʌɡʌstʌ
augusta's	ʌɡʌstʌz
auguste	ɔɡʌst
augustin	aʊɡustin
augustine	ɑɡʌstin
augustine(1)	ɔɡʌstin
augustinian	ɑɡʌstɪniʌn
augustinians	ɑɡʌstɪniʌnz
augusto	ɔɡʌstoʊ
augustson	ɔɡʌstsʌn
augustson(1)	ɔɡʌsʌn
augustus	ɑɡʌstʌs
augustus(1)	ʌɡʌstʌs
augustyn	aʊɡʌstɪn
augustyniak	aʊɡʌstɪniæk
aujourd'hui	oʊʒɔɹdwi
aujourd'hui's	oʊʒɔɹdwiz
auker	ɔkəɹ
aukerman	aʊkəɹmʌn
aul	ɔl
aulana	aʊlɑnʌ
aulander	oʊlændəɹ
auld	ɔld
aulds	ɔldz
auletta	ɔlɛtʌ
aull	ɔl
ault	ɔlt
aultman	ɔltmʌn
auman	ɔmʌn
aumann	ɔmʌn
aument	aʊmʌnt
aumiller	aʊmʌləɹ
aune	ɔn
aung	ɔŋ
aungst	aʊŋɡst
aunt	ænt
aunt(1)	ɔnt
aunt's	ænts
aunt's(1)	ɔnts
auntie	ænti
auntie(1)	ɔnti
aunts	ænts
aunts(1)	ɔnts
aunts'	ænts
aunts'(1)	ɔnts
aupperle	aʊpəɹli
aura	ɔɹʌ
aural	ɔɹʌl
aurand	ɔɹʌnd
aurea	aʊɹeɪɑ
aurelio	aʊɹeɪlioʊ
aureole	ɑɹioʊl
auria	ɔɹiʌ
aurich	aʊɹɪk
auriemma	ɔɹimʌ
aurora	əɹɔɹʌ
auroral	əɹɔɹʌl
aurum	ɔɹʌm
aus	aʊz
ausbrooks	aʊsbɹʊks
ausburn	aʊsbəɹn
auschwitz	ɔʃwɪts
auschwitz(1)	aʊʃwɪts
ausherman	aʊʃəɹmʌn
ausimont	aʊsɪmɑnt
auslander	aʊslʌndəɹ
ausley	ɔsli
ausman	aʊsmʌn
ausmus	aʊsmɪs
auspey	aʊspi
auspice	ɔspɪs
auspices	ɔspɪsɪz
auspicious	ɑspɪʃʌs
aussie	ɔsi
aust	ɔst
austad	aʊstʌd
austat	oʊstæt
austell	aʊstʌl
austen	ɔstɪn
austen's	ɔstɪnz
auster	ɔstəɹ
austere	ɔstɪɹ
austerely	ɔstɪɹli
austerity	ɔstɛɹɪti
austill	aʊstʌl
austin	ɔstʌn
austin's	ɔstʌnz
austine	ɔstin
auston	ɔstʌn
austral	ɔstɹʌl
australasia	ɔstɹʌleɪʒʌ
australia	ɔstɹeɪljʌ
australia's	ɔstɹeɪljʌz
australian	ɔstɹeɪljʌn
australians	ɔstɹeɪljʌnz
australopithecine	ɔstɹeɪloʊpɪθʌsaɪn
australopithecus	ɔstɹeɪloʊpɪθʌkʌs
australs	ɔstɹʌlz
austrasia	ɔstɹeɪʒʌ
austria	ɔstɹiʌ
austria's	ɔstɹiʌz
austrian	ɔstɹiʌn
austrians	ɔstɹiʌnz
austro	ɔstɹoʊ
austroasiatic	ɔstɹoʊeɪʒiætɪk
austron	ɔstɹʌn
auten	aʊtʌn
autenrieth	aʊtɪnɹiɪθ
autenrieth(1)	aʊtɪnɹiθ
autery	oʊtəɹi
auth	ɔθ
authement	aʊθmʌnt
authentic	ʌθɛntɪk
authentic(1)	ɔθɛntɪk
authentic(2)	ɔθɛnɪk
authentic(3)	ʌθɛnɪk
authentically	ɔθɛntɪkli
authentically(1)	ɔθɛnɪkli
authenticate	ɔθɛntʌkeɪt
authenticated	ɔθɛntʌkeɪtʌd
authenticating	ɔθɛntʌkeɪtɪŋ
authentication	ɔθɛntʌkeɪʃʌn
authentications	ɔθɛntʌkeɪʃʌnz
authenticity	ɔθʌntɪsɪti
auther	ɔθəɹ
authier	ɔθiəɹ
author	ɔθəɹ
author's	ɔθəɹz
authored	ɔθəɹd
authoring	ɔθəɹɪŋ
authoritarian	ʌθɔɹʌtɛɹiʌn
authoritarianism	ʌθɔɹʌtɛɹiʌnɪzʌm
authoritative	ʌθɔɹʌteɪtɪv
authoritatively	ʌθɔɹʌteɪtɪvli
authorities	ʌθɔɹʌtiz
authorities'	ʌθɔɹɪtiz
authority	ʌθɔɹʌti
authority's	ʌθɔɹɪtiz
authorization	ɔθəɹʌzeɪʃʌn
authorizations	ɔθəɹʌzeɪʃʌnz
authorize	ɔθəɹaɪz
authorized	ɔθəɹaɪzd
authorizes	ɔθəɹaɪzɪz
authorizing	ɔθəɹaɪzɪŋ
authors	ɔθəɹz
authors'	ɔθəɹz
authorship	ɔθəɹʃɪp
autism	ɔtɪzʌm
autistic	ɔtɪstɪk
auto	ɔtoʊ
auto's	ɔtoʊz
autobahn	ɔtoʊbɑn
autobiographer	ɔtʌbaɪɑɡɹʌfəɹ
autobiographical	ɔtʌbaɪʌɡɹæfɪkʌl
autobiographies	ɔtʌbaɪɑɡɹʌfiz
autobiography	ɔtʌbaɪɑɡɹʌfi
autobon	ɑtʌbɑn
autobot	ɔtʌbɑt
autobots	ɔtʌbɑts
autoclave	ɔtoʊkleɪv
autocracy	ɔtɑkɹʌsi
autocrat	ɔtʌkɹæt
autocratic	ɔtʌkɹætɪk
autodesk	ɔtoʊdɛsk
autodie	ɔtoʊdaɪ
autoeurope	ɔtoʊjʊɹʌp
autofact	ɔtoʊfækt
autofacts	ɔtoʊfækts
autograph	ɔtʌɡɹæf
autographed	ɔtʌɡɹæft
autographs	ɔtʌɡɹæfs
autoimmune	ɔtɔɪmjun
autolatina	ɔtoʊlʌtinʌ
automaker	ɔtoʊmeɪkəɹ
automaker's	ɔtoʊmeɪkəɹz
automakers	ɔtoʊmeɪkəɹz
automakers'	ɔtoʊmeɪkəɹz
automap	ɔtoʊmæp
automata	ɔtɑmʌtʌ
automate	ɔtʌmeɪt
automated	ɔtʌmeɪtɪd
automates	ɔtʌmeɪts
automatic	ɔtʌmætɪk
automatic(1)	ɔtoʊmætɪk
automatically	ɔtʌmætɪkli
automatically(1)	ɔtoʊmætɪkli
automatics	ɔtʌmætɪks
automating	ɔtʌmeɪtɪŋ
automation	ɔtʌmeɪʃʌn
automatix	ɔtoʊmeɪtɪks
automaton	ɔtɑmʌtɑn
automobile	ɔtʌmoʊbil
automobile(1)	ɔtʌmoʊbil
automobiles	ɔtʌmoʊbilz
automobiles(1)	ɔtʌmoʊbilz
automobili	ɔtoʊmoʊbili
automotive	ɔtʌmoʊtɪv
automotive's	ɔtʌmoʊtɪvz
automoviles	ɔtoʊmoʊvilɛz
auton	ɔtʌn
autonomic	ɔtʌnɑmɪk
autonomous	ɔtɑnʌmʌs
autonomously	ɔtɑnoʊmʌsli
autonomy	ɔtɑnʌmi
autonomy(1)	ʌtɑnʌmi
autopacific	ɔtoʊpʌsɪfɪk
autopart	ɔtoʊpɑɹt
autoparts	ɔtoʊpɑɹts
autopilot	ɔtoʊpaɪlʌt
autopsied	ɔtɑpsid
autopsies	ɔtɑpsiz
autopsy	ɔtɑpsi
autorad	ɔtoʊɹæd
autoradiograph	ɑtoʊɹeɪdioʊɡɹæf
autorads	ɔtoʊɹædz
autos	ɔtoʊz
autospa	ɔtoʊspʌ
autotote	ɔtoʊtoʊt
autotrophic	ɔtʌtɹoʊfɪk
autoworker	ɔtoʊwəɹkəɹ
autoworkers	ɔtoʊwəɹkəɹz
autrey	ɔtɹi
autry	ɔtɹi
autumn	ɔtʌm
autumn's	ɔtʌmz
autumnal	ɔtʌmnʌl
auvil	oʊvɪl
aux	oʊ
auxier	ɔksiəɹ
auxiliary	ɑɡzɪljəɹi
auxiliary(1)	ɑɡzɪliɛɹi
auxton	ɔkstʌn
auyeung	aʊjuŋ
auzenne	ɔzɪn
ava	eɪvʌ
avail	ʌveɪl
availabilities	ʌveɪlʌbɪlɪtiz
availability	ʌveɪlʌbɪlʌti
availability(1)	ʌveɪlʌbɪlɪti
available	ʌveɪlʌbʌl
availed	ʌveɪld
avakian	ʌveɪkiʌn
avalanche	ævʌlænt͡ʃ
avalanches	ævʌlænt͡ʃɪz
avallone	ævʌloʊn
avalon	ævʌlɑn
avalon's	ævʌlɑnz
avalos	ɑvɑloʊz
avana	ʌvænʌ
avana's	ʌvænʌz
avanex	ɑvʌnɛks
avant	ʌvɑnt
avant-garde	ʌvɑntɡɑɹd
avant-garde(1)	ʌvɑnɡɑɹd
avantek	ʌvɑntɛk
avanti	ʌvɑnti
avants	ɑvɔnts
avarice	ævəɹʌs
avasso	ʌvɑsoʊ
avatar	ævʌtɑɹ
avatars	ævʌtɑɹz
avco	ævkoʊ
avdel	ævdɛl
ave	ɑveɪ
avedisian	ævɪdɪʒɪn
avedon	ævɛdɑn
avelar	ɑveɪlɑɹ
aveline	ɑvɛlini
avella	ʌvɛlʌ
avellino	ævʌlinoʊ
avellino's	ævʌlinoʊz
avemco	ʌvɛmkoʊ
avemco's	ʌvɛmkoʊz
aven	ɑveɪn
avena	ɑveɪnʌ
avenall	ɑveɪnɑl
avendano	ɑvɛndɑnoʊ
avenel	ɑveɪnɛl
avenell	ɑveɪneɪl
avenge	ʌvɛnd͡ʒ
avenged	ʌvɛnd͡ʒd
avenger	ʌvɛnd͡ʒəɹ
avenging	ʌvɛnd͡ʒɪŋ
aveni	ɑvɛni
avent	ɑvʌnt
aventura	ʌvɛnt͡ʃəɹʌ
aventura(1)	ævʌnt͡ʃʊɹʌ
avenue	ævʌnu
avenue's	ævʌnuz
avenues	ævʌnuz
aver	eɪvəɹ
avera	ɑvɛɹʌ
average	ævəɹɪd͡ʒ
average(1)	ævɹʌd͡ʒ
average(2)	ævɹɪd͡ʒ
average's	ævɹɪd͡ʒɪz
averaged	ævɹʌd͡ʒd
averaged(1)	ævɹɪd͡ʒd
averages	ævɹɪd͡ʒɪz
averaging	ævɹɪd͡ʒɪŋ
averbeck	eɪvəɹbɛk
averell	ɑvɛɹeɪl
averett	ævəɹɛt
averette	ævəɹɛt
averil	eɪvəɹɪl
averil(1)	eɪvɹɪl
averill	ɑvɛɹil
averitt	ævəɹɪt
averof	ævəɹɑf
avers	eɪvəɹz
aversa	ɑvɛɹsʌ
aversano	ɑvəɹsɑnoʊ
averse	ʌvəɹs
aversion	ʌvəɹʒʌn
aversions	ʌvəɹʒʌnz
aversive	ʌvəɹsʌv
avert	ʌvəɹt
averted	ʌvəɹtʌd
averting	ʌvəɹtɪŋ
averts	ʌvəɹts
avery	eɪvəɹi
avery's	eɪvəɹiz
averyl	ævəɹɪl
avey	eɪvi
avi	ɑvi
avi(1)	eɪvi
avia	ɑviʌ
aviacion	eɪvieɪʃʌn
aviall	eɪviʌl
avian	eɪviʌn
aviano	ɑviɑnoʊ
aviano's	ɑviɑnoʊz
aviaries	eɪviɛɹiz
aviary	eɪviɛɹi
aviation	eɪvieɪʃʌn
aviation's	eɪvieɪʃʌnz
aviator	eɪvieɪtəɹ
aviators	eɪvieɪtəɹz
aviazione	æviæzioʊni
avice	ɑvaɪs
avid	ævʌd
avid(1)	ævɪd
avidly	ævʌdli
avignon	ævɪnjɔn
avila	ʌvɪlʌ
