!exclamation-point       ɛksklʌmeɪʃʌnpɔɪnt        
"close-quote             kloʊzkwoʊt               
abhorred                 ʌbhɔɹd                   
abhorrence               ʌbhɔɹʌns                 
abhorrent                æbhɔɹʌnt                 
abhors                   ʌbhɔɹz                   
abiam                    eɪbiʌm                   
abiam's                  eɪbiʌmz                  
abid                     eɪbɪd                    
abide                    ʌbaɪd                    
abided                   ʌbaɪdɪd                  
abides                   ʌbaɪdz                   
abiding                  ʌbaɪdɪŋ                  
abidjan                  æbɪdʒɑn                  
abie                     æbi                      
abigail                  æbʌɡeɪl                  
abila                    ɑbilʌ                    
abilene                  æbɪlin                   
abilities                ʌbɪlʌtiz                 
ability                  ʌbɪlʌti                  
abimael                  æbɪmeɪl                  
abimaels                 æbɪmeɪlz                 
abingdon                 æbɪŋdʌn                  
abington                 æbɪŋtʌn                  
abio                     ɑbioʊ                    
abiola                   ɑbioʊlʌ                  
abiola's                 ɑbioʊlʌz                 
abiomed                  eɪbiʌmɛd                 
abiquiu                  ʌbɪkju                   
abitibi                  æbɪtibi                  
abitz                    æbɪts                    
abject                   æbdʒɛkt                  
abkhazia                 æbkɑzjʌ                  
abkhazia(1)              æbkæzjʌ                  
abkhazian                æbkɑziʌn                 
abkhazian(1)             æbkæziʌn                 
abkhazian(2)             æbkɑzjʌn                 
abkhazian(3)             æbkæzjʌn                 
abkhazians               æbkɑziʌnz                
abkhazians(1)            æbkæziʌnz                
ablaze                   ʌbleɪz                   
able                     eɪbʌl                    
able-bodied              eɪbʌlbɑdid               
abled                    eɪbʌld                   
abler                    eɪbʌlɹ̩                  
abler(1)                 eɪblɹ̩                   
ables                    eɪbʌlz                   
ablest                   eɪbʌlst                  
ablest(1)                eɪblʌst                  
abloom                   ʌblum                    
ably                     eɪbli                    
abnegation               æbnɛɡeɪʃʌn               
abner                    æbnɹ̩                    
abney                    æbni                     
abnormal                 æbnɔɹmʌl                 
abnormalities            æbnɔɹmælʌtiz             
abnormality              æbnɔɹmælʌti              
abnormally               æbnɔɹmʌli                
abo                      ɑboʊ                     
abo's                    ɑboʊz                    
aboard                   ʌbɔɹd                    
abode                    ʌboʊd                    
abohalima                æbʌhʌlimʌ                
abolish                  ʌbɑlɪʃ                   
abolished                ʌbɑlɪʃt                  
abolishes                ʌbɑlɪʃɪz                 
abolishing               ʌbɑlɪʃɪŋ                 
abolition                æbʌlɪʃʌn                 
abolitionism             æbʌlɪʃʌnɪzʌm             
abolitionist             æbʌlɪʃʌnʌst              
abolitionists            æbʌlɪʃʌnʌsts             
abolitionists(1)         æbʌlɪʃʌnʌs               
abominable               ʌbɑmʌnʌbʌl               
abomination              ʌbɑmʌneɪʃʌn              
abominations             ʌbɑmʌneɪʃʌnz             
abood                    ʌbud                     
aboodi                   ʌbudi                    
abor                     ʌbɔɹ                     
aboriginal               æbɹ̩ɪdʒʌnʌl              
aborigine                æbɹ̩ɪdʒʌni               
aborigines               æbɹ̩ɪdʒʌniz              
aborn                    ʌbɔɹn                    
abort                    ʌbɔɹt                    
aborted                  ʌbɔɹtɪd                  
abortifacient            ʌbɔɹtʌfeɪʃʌnt            
abortifacients           ʌbɔɹtʌfeɪʃʌnts           
aborting                 ʌbɔɹtɪŋ                  
abortion                 ʌbɔɹʃʌn                  
abortionist              ʌbɔɹʃʌnɪst               
abortionists             ʌbɔɹʃʌnɪsts              
abortionists(1)          ʌbɔɹʃʌnɪs                
abortions                ʌbɔɹʃʌnz                 
abortive                 ʌbɔɹtɪv                  
aborts                   ʌbɔɹts                   
abott                    ʌbɑt                     
abou                     ʌbu                      
aboud                    ɑbud                     
abouhalima               ɑbuhɑlimʌ                
abouhalima's             ɑbuhɑlimʌz               
abound                   ʌbaʊnd                   
abounded                 ʌbaʊndɪd                 
abounding                ʌbaʊndɪŋ                 
abounds                  ʌbaʊndz                  
about                    ʌbaʊt                    
about's                  ʌbaʊts                   
above                    ʌbʌv                     
above's                  ʌbʌvz                    
aboveboard               ʌbʌvbɔɹd                 
abplanalp                æbplʌnælp                
abra                     ɑbɹʌ                     
abracadabra              æbɹʌkʌdæbɹʌ              
abraham                  eɪbɹʌhæm                 
abrahamian               æbɹʌheɪmiʌn              
abrahams                 eɪbɹʌhæmz                
abrahamsen               æbɹʌhæmsʌn               
abrahamson               ʌbɹæhʌmsʌn               
abram                    ʌbɹæm                    
abram's                  eɪbɹʌmz                  
abramczyk                ɑbɹʌmtʃɪk                
abramo                   ɑbɹɑmoʊ                  
abramovitz               ʌbɹɑmʌvɪts               
abramowicz               ʌbɹɑmʌvɪtʃ               
abramowitz               ʌbɹɑmʌwɪts               
abrams                   eɪbɹʌmz                  
abrams's                 eɪbɹʌmzɪz                
abramson                 eɪbɹʌmsʌn                
abrasion                 ʌbɹeɪʒʌn                 
abrasions                ʌbɹeɪʒʌnz                
abrasive                 ʌbɹeɪsɪv                 
abrasives                ʌbɹeɪsɪvz                
abraxa                   ʌbɹæksʌ                  
abraxa's                 ʌbɹæksʌz                 
abraxas                  ʌbɹæksʌz                 
abreast                  ʌbɹɛst                   
abrego                   ɑbɹɛɡoʊ                  
abreu                    ʌbɹu                     
abridge                  ʌbɹɪdʒ                   
abridged                 ʌbɹɪdʒd                  
abridgement              ʌbɹɪdʒmʌnt               
abridges                 ʌbɹɪdʒʌz                 
abridging                ʌbɹɪdʒɪŋ                 
abril                    ʌbɹɪl                    
abroad                   ʌbɹɔd                    
abrogate                 æbɹʌɡeɪt                 
abrogated                æbɹʌɡeɪtɪd               
abrogating               æbɹʌɡeɪtɪŋ               
abrogation               æbɹʌɡeɪʃʌn               
abrol                    ʌbɹoʊl                   
abron                    ʌbɹɑn                    
abrupt                   ʌbɹʌpt                   
abruptly                 ʌbɹʌptli                 
abruptness               ʌbɹʌptnʌs                
abrutyn                  eɪbɹutɪn                 
abruzzese                ɑbɹutseɪzi               
abruzzo                  ɑbɹuzoʊ                  
abs                      eɪbiɛs                   
abs(1)                   æbz                      
absalom                  æbsʌlʌm                  
absaraka                 æbsɑɹʌkʌ                 
abscam                   æbskæm                   
abscess                  æbsɛs                    
abscond                  æbskɑnd                  
absconded                æbskɑndʌd                
absconding               æbskɑndɪŋ                
absconds                 æbskɑndz                 
absecon                  æbsʌkɔn                  
absence                  æbsʌns                   
absences                 æbsʌnsɪz                 
absent                   æbsʌnt                   
absentee                 æbsʌnti                  
absenteeism              æbsʌntiɪzʌm              
absentees                æbsʌntiz                 
absentia                 æbsɛnʃʌ                  
absher                   æbʃɹ̩                    
abshier                  æbʃiɹ̩                   
abshire                  æbʃaɪɹ                   
absinthe                 æbsɪnθ                   
abso                     æbsoʊ                    
absolom                  æbsʌlʌm                  
absolut                  æbsʌlut                  
absolut's                æbsʌluts                 
absolute                 æbsʌlut                  
absolutely               æbsʌlutli                
absoluteness             æbsʌlutnʌs               
absolutes                æbsʌluts                 
absolution               æbsʌluʃʌn                
absolutism               æbsʌlutɪzʌm              
absolutist               æbsʌlutɪst               
absolve                  ʌbzɑlv                   
absolve(1)               æbzɑlv                   
absolved                 ʌbzɑlvd                  
absolved(1)              æbzɑlvd                  
absolves                 ʌbzɑlvz                  
absolves(1)              æbzɑlvz                  
absolving                ʌbzɑlvɪŋ                 
absolving(1)             æbzɑlvɪŋ                 
absorb                   ʌbzɔɹb                   
absorbed                 ʌbzɔɹbd                  
absorbency               ʌbzɔɹbʌnsi               
absorbent                ʌbzɔɹbʌnt                
absorber                 ʌbzɔɹbɹ̩                 
absorbers                ʌbzɔɹbɹ̩z                
absorbing                ʌbzɔɹbɪŋ                 
absorbs                  ʌbzɔɹbz                  
absorption               ʌbzɔɹpʃʌn                
absorption(1)            ʌbsɔɹpʃʌn                
abstain                  ʌbsteɪn                  
abstain(1)               æbsteɪn                  
abstained                ʌbsteɪnd                 
abstained(1)             æbsteɪnd                 
abstaining               ʌbsteɪnɪŋ                
abstaining(1)            æbsteɪnɪŋ                
abstention               ʌbstɛntʃʌn               
abstention(1)            æbstɛntʃʌn               
abstentions              ʌbstɛntʃʌnz              
abstentions(1)           æbstɛntʃʌnz              
abstinence               æbstʌnʌns                
abstinent                æbstʌnʌnt                
abston                   æbstʌn                   
abstract                 æbstɹækt                 
abstract(1)              æbstɹækt                 
abstracted               æbstɹæktɪd               
abstraction              æbstɹækʃʌn               
abstractions             æbstɹækʃʌnz              
abstracts                æbstɹækts                
abstruse                 ʌbstɹus                  
absurd                   ʌbsɹ̩d                   
absurdist                ʌbsɹ̩dɪst                
absurdities              ʌbsɹ̩dʌtiz               
absurdity                ʌbsɹ̩dʌti                
absurdly                 ʌbsɹ̩dli                 
abt                      æbt                      
abt(1)                   eɪbiti                   
abts                     æbts                     
abts(1)                  eɪbitiz                  
abts(2)                  eɪbitiɛs                 
abu                      æbu                      
abudrahm                 ʌbʌdɹʌm                  
abuellah                 ʌbwɛlʌ                   
abuellah's               ʌbwɛlʌz                  
abuladze                 æbjulædzi                
abundance                ʌbʌndʌns                 
abundant                 ʌbʌndʌnt                 
abundantly               ʌbʌndʌntli               
aburto                   ʌbʊɹtoʊ                  
aburto's                 ʌbʊɹtoʊz                 
abuse                    ʌbjus                    
abuse(1)                 ʌbjuz                    
abused                   ʌbjuzd                   
abuser                   ʌbjuzɹ̩                  
abusers                  ʌbjuzɹ̩z                 
abuses                   ʌbjusɪz                  
abuses(1)                ʌbjuzɪz                  
abusing                  ʌbjuzɪŋ                  
abusive                  ʌbjusɪv                  
abut                     ʌbʌt                     
abuts                    ʌbʌts                    
abutted                  ʌbʌtʌd                   
abutting                 ʌbʌtɪŋ                   
abuzz                    ʌbʌz                     
abysmal                  ʌbɪzmʌl                  
abysmally                ʌbɪzmʌli                 
abyss                    ʌbɪs                     
abyssinia                æbsɪniʌ                  
abyssinian               æbsɪniʌn                 
abzug                    æbzʌɡ                    
abzug(1)                 æbzʊɡ                    
ac                       eɪsi                     
aca                      ækʌ                      
acacia                   ʌkeɪʃʌ                   
academe                  ækʌdim                   
academia                 ækʌdimiʌ                 
academic                 ækʌdɛmɪk                 
academically             ækʌdɛmɪkli               
academician              ækʌdʌmɪʃʌn               
academicians             ækʌdʌmɪʃʌnz              
academicians(1)          ʌkædʌmɪʃʌnz              
academics                ækʌdɛmɪks                
academies                ʌkædʌmiz                 
academy                  ʌkædʌmi                  
academy's                ʌkædʌmiz                 
acadia                   ʌkeɪdiʌ                  
acampo                   ʌkɑmpoʊ                  
acampora                 ʌkæmpɹ̩ʌ                 
acampsia                 ʌkæmpsjʌ                 
acantha                  ɑkɑnðʌ                   
acapulco                 ækʌpʊlkoʊ                
acary                    ækɹ̩i                    
accardi                  ɑkɑɹdi                   
accardo                  ɑkɑɹdoʊ                  
accede                   æksid                    
acceded                  æksidɪd                  
accedes                  æksidz                   
acceding                 æksidɪŋ                  
accel                    ʌksɛl                    
accelerant               æksɛlɹ̩ʌnt               
accelerants              æksɛlɹ̩ʌnts              
accelerate               æksɛlɹ̩eɪt               
accelerated              æksɛlɹ̩eɪtɪd             
accelerates              æksɛlɹ̩eɪts              
accelerating             æksɛlɹ̩eɪtɪŋ             
acceleration             æksɛlɹ̩eɪʃʌn             
accelerator              æksɛlɹ̩eɪtɹ̩             
accelerators             æksɛlɹ̩eɪtɹ̩z            
accelerometer            æksɛlɹ̩ɑmʌtɹ̩            
accelerometers           æksɛlɹ̩ɑmʌtɹ̩z           
accent                   ʌksɛnt                   
accent(1)                æksɛnt                   
accented                 æksɛntɪd                 
accenting                æksɛntɪŋ                 
accents                  æksɛnts                  
accentuate               æksɛntʃueɪt              
accentuated              æksɛntʃueɪtɪd            
accentuates              æksɛntʃueɪts             
accentuating             æksɛntʃueɪtɪŋ            
accept                   æksɛpt                   
accept(1)                ʌksɛpt                   
acceptability            ʌksɛptʌbɪlʌti            
acceptable               æksɛptʌbʌl               
acceptable(1)            ʌksɛptʌbʌl               
acceptably               æksɛptʌbli               
acceptably(1)            ʌksɛptʌbli               
acceptance               æksɛptʌns                
acceptance(1)            ʌksɛptʌns                
acceptances              æksɛptʌnsɪz              
accepted                 æksɛptɪd                 
accepting                æksɛptɪŋ                 
accepting(1)             ʌksɛptɪŋ                 
accepts                  æksɛpts                  
access                   æksɛs                    
accessed                 æksɛst                   
accessibility            æksɛsʌbɪlɪti             
accessible               æksɛsʌbʌl                
accessing                æksɛsɪŋ                  
accession                ʌksɛʃʌn                  
accessories              æksɛsɹ̩iz                
accessorize              æksɛsɹ̩aɪz               
accessorized             æksɛsɹ̩aɪzd              
accessory                æksɛsɹ̩i                 
accetta                  ɑtʃɛtʌ                   
accident                 æksʌdʌnt                 
accident's               æksʌdʌnts                
accidental               æksʌdɛntʌl               
accidental(1)            æksʌdɛnʌl                
accidentally             æksʌdɛntʌli              
accidentally(1)          æksʌdɛnʌli               
accidently               æksʌdʌntli               
accidents                æksʌdʌnts                
accion                   ætʃiʌn                   
accival                  æsɪvɑl                   
acclaim                  ʌkleɪm                   
acclaim's                ʌkleɪmz                  
acclaimed                ʌkleɪmd                  
acclaiming               ʌkleɪmɪŋ                 
acclaims                 ʌkleɪmz                  
acclamation              æklʌmeɪʃʌn               
acclimate                æklʌmeɪt                 
acclimated               æklʌmeɪtɪd               
acclimation              æklʌmeɪʃʌn               
acco                     ækoʊ                     
accokeek                 ækoʊkik                  
accola                   ɑkoʊlʌ                   
accolade                 ækʌleɪd                  
accolades                ækʌleɪdz                 
accomando                ɑkoʊmɑndoʊ               
accommodate              ʌkɑmʌdeɪt                
accommodated             ʌkɑmʌdeɪtʌd              
accommodates             ʌkɑmʌdeɪts               
accommodating            ʌkɑmʌdeɪtɪŋ              
accommodation            ʌkɑmʌdeɪʃʌn              
accommodations           ʌkɑmʌdeɪʃʌnz             
accommodative            ʌkɑmʌdeɪtɪv              
accompanied              ʌkʌmpʌnid                
accompanies              ʌkʌmpʌniz                
accompaniment            ʌkʌmpnɪmʌnt              
accompaniment(1)         ʌkʌmpnimʌnt              
accompaniments           ʌkʌmpnɪmʌnts             
accompaniments(1)        ʌkʌmpnimʌnts             
accompanist              ʌkʌmpʌnʌst               
accompany                ʌkʌmpʌni                 
accompanying             ʌkʌmpʌniɪŋ               
accompli                 ɑkɑmpli                  
accompli(1)              ʌkɑmpli                  
accomplice               ʌkɑmplʌs                 
accomplices              ʌkɑmplʌsʌz               
accomplish               ʌkɑmplɪʃ                 
accomplished             ʌkɑmplɪʃt                
accomplishes             ʌkɑmplɪʃɪz               
accomplishing            ʌkɑmplɪʃɪŋ               
accomplishment           ʌkɑmplɪʃmʌnt             
accomplishments          ʌkɑmplɪʃmʌnts            
accor                    ækɔɹ                     
accor's                  ækɹ̩z                    
accord                   ʌkɔɹd                    
accord's                 ʌkɔɹdz                   
accordance               ʌkɔɹdʌns                 
accorded                 ʌkɔɹdɪd                  
according                ʌkɔɹdɪŋ                  
accordingly              ʌkɔɹdɪŋli                
accordion                ʌkɔɹdiʌn                 
accordions               ʌkɔɹdiʌnz                
accords                  ʌkɔɹdz                   
accost                   ʌkɔst                    
accosted                 ʌkɑstʌd                  
accosting                ʌkɑstɪŋ                  
account                  ʌkaʊnt                   
account's                ʌkaʊnts                  
accountability           ʌkaʊntʌbɪlɪti            
accountable              ʌkaʊntʌbʌl               
accountancy              ʌkaʊntʌntsi              
accountant               ʌkaʊntʌnt                
accountant's             ʌkaʊntʌnts               
accountants              ʌkaʊntʌnts               
accountants'             ʌkaʊntʌnts               
accounted                ʌkaʊntɪd                 
accountemp               ʌkaʊntɛmp                
accountemps              ʌkaʊntɛmps               
accounting               ʌkaʊntɪŋ                 
accounting(1)            ʌkaʊnɪŋ                  
accounts                 ʌkaʊnts                  
accouterment             ʌkutɹ̩mʌnt               
accouterments            ʌkutɹ̩mʌnts              
accoutrement             ʌkutɹ̩mʌnt               
accoutrements            ʌkutɹ̩mʌnts              
accra                    ɑkɹɑ                     
accredit                 ʌkɹɛdɪt                  
accreditation            ʌkɹɛdʌteɪʃʌn             
accreditations           ʌkɹɛdʌteɪʃʌnz            
accredited               ʌkɹɛdɪtɪd                
accrediting              ʌkɹɛdʌtɪŋ                
accreted                 ʌkɹitɪd                  
accretion                ʌkɹiʃʌn                  
accrual                  ʌkɹuʌl                   
accruals                 ʌkɹuʌlz                  
accrue                   ʌkɹu                     
accrued                  ʌkɹud                    
accrues                  ʌkɹuz                    
accruing                 ʌkɹuɪŋ                   
accu                     ækju                     
accuhealth               ækjuhɛlθ                 
accumulate               ʌkjumjʌleɪt              
accumulated              ʌkjumjʌleɪtɪd            
accumulates              ʌkjumjʌleɪts             
accumulating             ʌkjumjʌleɪtɪŋ            
accumulation             ʌkjumjʌleɪʃʌn            
accumulations            ʌkjumjʌleɪʃʌnz           
accumulative             ʌkjumjʌleɪtɪv            
accumulatively           ʌkjumjʌleɪtɪvli          
accumulatively(1)        ʌkjumjʌlʌtɪvli           
accumulator              ʌkjumjʌleɪtɹ̩            
accumulators             ʌkjumjʌleɪtɹ̩z           
accuracies               ækjɹ̩ʌsiz                
accuracy                 ækjɹ̩ʌsi                 
accurate                 ækjɹ̩ʌt                  
accurately               ækjɹ̩ʌtli                
accuray                  ækjɹ̩eɪ                  
accuray's                ækjɹ̩eɪz                 
accuride                 ækjɹ̩aɪd                 
accurso                  ɑkʊɹsoʊ                  
accusation               ækjʌzeɪʃʌn               
accusation(1)            ækjuzeɪʃʌn               
accusations              ækjʌzeɪʃʌnz              
accusations(1)           ækjuzeɪʃʌnz              
accusative               ʌkjuzʌtɪv                
accusatory               ʌkjuzʌtɔɹi               
accuse                   ʌkjuz                    
accused                  ʌkjuzd                   
accuser                  ʌkjuzɹ̩                  
accusers                 ʌkjuzɹ̩z                 
accuses                  ʌkjuzɪz                  
accusing                 ʌkjuzɪŋ                  
accusingly               ʌkjuzɪŋli                
accustom                 ʌkʌstʌm                  
accustomed               ʌkʌstʌmd                 
accutane                 ækjuteɪn                 
ace                      eɪs                      
acecomm                  eɪskɑm                   
aced                     eɪst                     
acer                     eɪsɹ̩                    
acerbic                  ʌsɛɹbɪk                  
acero                    ʌsɛɹoʊ                   
acero(1)                 ʌsjɛɹoʊ                  
acero(2)                 ʌθɛɹoʊ                   
acerra                   ʌsɛɹʌ                    
aces                     eɪsɪz                    
acetaminophen            ʌsitʌmɪnʌfʌn             
acetate                  æsʌteɪt                  
acetic                   ʌsɛtɪk                   
acetic(1)                ʌsitɪk                   
aceto                    ɑsɛtoʊ                   
acetochlor               ɑsɛtoʊklɔɹ               
acetone                  æsʌtoʊn                  
acetosyringone           ʌsɛtoʊsɪɹɪŋɡɔn           
acetylcholine            ʌsɛtʌlkoʊlin             
acetylcholine(1)         ʌsitʌlkoʊlin             
acetylene                ʌsɛtʌlin                 
acevedo                  æsʌveɪdoʊ                
aceves                   ɑseɪvɛs                  
acey                     eɪsi                     
achaean                  ʌtʃiʌn                   
achatz                   ækʌts                    
ache                     eɪk                      
achebe                   ɑtʃeɪbi                  
ached                    eɪkt                     
achee                    ʌtʃi                     
achenbach                ækɪnbɑk                  
